"trophic","X","Intercept","Depth_m.rescale","Habitat","Management","Complexity.rescale","no_genera.rescale","Rao.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Competitive.rescale","Generalist.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"Corallivore",68,0.791689159925462,0.156876476980122,NA,NA,0.265321649980706,NA,NA,NA,NA,NA,NA,0.277080420328231,NA,NA,NA,9,-4.52779360134568,28.2800769986097,0,0.445478924612374
"Corallivore",4,0.805305495786423,NA,NA,NA,0.377126689329331,NA,NA,NA,NA,NA,NA,0.225601567266122,NA,NA,NA,8,-7.20059280887571,31.3741585907244,3.09408159211467,0.0948322121794048
"Herbivore",835,2.88548707215579,0.549690469791701,"+","+",0.276570489042778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,-42.4954066475485,108.811502950269,0,0.115347369551368
"Herbivore",67,2.53021129221078,-0.172530879381257,NA,NA,0.293899039636742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-45.9744399810011,108.921852934975,0.11034998470582,0.109155469092108
"Herbivore",579,2.47546901644139,-0.163130952611454,NA,"+",0.277463812482055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,-45.3655310340085,109.955551863935,1.144048913666,0.0650999462436663
"Herbivore",259,2.59769693105632,NA,"+",NA,0.282663430656667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,-45.5701083278446,110.364706451608,1.55320350133827,0.0530559188304878
"Herbivore",323,2.89790030207531,0.475874526523953,"+",NA,0.285122588362751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,-44.4971422854378,110.501133885944,1.68963093567481,0.0495574554417524
"Herbivore",771,2.53101511299941,NA,"+","+",0.26570947571812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,-44.5003056719008,110.50746065887,1.69595770860076,0.0494009337578827
"Herbivore",3,2.50876204682504,NA,NA,NA,0.196333220850186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,-48.2123069895843,111.176291831518,2.36478888124826,0.0353590276806754
"Herbivore",515,2.44861202126252,NA,NA,"+",0.18549494362378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-47.1226493155208,111.218271604015,2.40676865374526,0.0346245806562875
"Herbivore",2051,2.48738800412625,NA,NA,NA,0.230150325606136,NA,-0.119637242049159,NA,NA,NA,NA,NA,NA,NA,NA,8,-47.7060555501318,112.385084073236,3.57358112296716,0.0193203243860854
"Invertivore",579,1.72466047902665,0.147327822137729,NA,"+",0.258379367550305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,-28.6794410648728,76.583371925664,0,0.347864751863414
"Invertivore",515,1.72491713810826,NA,NA,"+",0.335496343938592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-30.1685290205049,77.3100310139828,0.726659088318854,0.241890275425225
"Mixed.diet",67,1.69431660245708,0.518121815064916,NA,NA,0.365043509017507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-56.9147831697753,130.802539312524,0,0.119734899203264
"Mixed.diet",8259,1.70514344371442,0.560578624854327,NA,NA,0.421916316164894,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.160322166570442,9,-55.9113907995188,131.047271394956,0.244732082432336,0.105944363580499
"Mixed.diet",75,1.69438957219176,0.557589633105952,NA,NA,0.359569149297368,NA,NA,NA,-0.138718493276038,NA,NA,NA,NA,NA,NA,9,-56.3103935537422,131.845276903403,1.04273759087931,0.0710874870322272
"Mixed.diet",71,1.69273111451986,0.516205462639312,NA,NA,0.346749008389624,NA,NA,-0.135066061435469,NA,NA,NA,NA,NA,NA,NA,9,-56.485053288612,132.194596373142,1.39205706061881,0.0596951988172701
"Mixed.diet",579,1.64342109893982,0.527497547808103,NA,"+",0.351105644019049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,-57.1036542941953,133.431798384309,2.6292590717855,0.0321576570829924
"Mixed.diet",8275,1.69723761373868,0.538574491564356,NA,NA,0.448576556502921,NA,NA,NA,NA,0.115051827968408,NA,NA,NA,NA,-0.182129346522804,10,-56.0336438480375,133.574137011144,2.77159769862004,0.0299485609904183
"Mixed.diet",8771,1.65556771772109,0.57035562045595,NA,"+",0.407579212966686,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.16120572312694,10,-56.1136715009748,133.734192317018,2.93165300449459,0.027645241718307
"Mixed.diet",587,1.6441247902823,0.566179293567718,NA,"+",0.34526703408288,NA,NA,NA,-0.137488758263904,NA,NA,NA,NA,NA,NA,10,-56.5018131723418,134.510475659752,3.7079363472285,0.0187522163738975
"Mixed.diet",195,1.70838729310232,0.527326008396287,NA,NA,0.399606021997488,NA,NA,NA,NA,NA,NA,NA,-0.100396733502697,NA,NA,9,-57.7295467686286,134.683583333176,3.88104402065204,0.0171973983787014
"Mixed.diet",583,1.64091992433956,0.526086215913393,NA,"+",0.332353141652992,NA,NA,-0.136271200819281,NA,NA,NA,NA,NA,NA,NA,10,-56.5956561793789,134.698161673826,3.89562236130269,0.0170724993708482
"Mixed.diet",8263,1.70150064770821,0.549679076290626,NA,NA,0.396133205022009,NA,NA,-0.0979004028857516,NA,NA,NA,NA,NA,NA,-0.127428529558103,10,-56.6068852754242,134.720619865917,3.91808055339328,0.0168818629760223
"Piscivore",581,1.35090825271127,0.649470097803535,NA,"+",NA,NA,NA,-0.309978880899851,NA,NA,NA,NA,NA,NA,NA,9,-179.378760787048,377.982011370015,0,0.0738841482443231
"Piscivore",5697,1.36268124317237,0.723532148295266,NA,"+",NA,-0.490898619108976,NA,NA,NA,NA,NA,NA,NA,0.544509410872406,NA,10,-178.491308172313,378.489465659694,0.507454289679345,0.0573269679195302
"Piscivore",577,1.37789829971353,0.74064749117519,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-180.874178345797,378.721329664567,0.739318294552447,0.0510517158333768
"Piscivore",5699,1.3341687244453,0.634878741476338,NA,"+",0.247673002991331,-0.532372621528995,NA,NA,NA,NA,NA,NA,NA,0.515582522012983,NA,11,-178.399338630284,380.61936691574,2.63735554572497,0.0197631783943148
"Piscivore",579,1.35484711616653,0.619784688955385,NA,"+",0.240738518085924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,-180.818004064851,380.86049792562,2.87848655560481,0.0175184572366048
"Piscivore",2625,1.42095369938891,0.633672297644443,NA,"+",NA,NA,0.219288324426107,NA,NA,NA,NA,NA,NA,NA,NA,9,-180.837125657795,380.898741111507,2.91672974149265,0.0171866587953945
"Piscivore",2629,1.38464218499348,0.576698944915468,NA,"+",NA,NA,0.16848254749605,-0.286596367891078,NA,NA,NA,NA,NA,NA,NA,10,-179.750507635334,381.007864585737,3.02585321572269,0.0162740480413445
"Piscivore",833,1.72758932294601,0.843770384620477,"+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,-179.890171619727,381.287192554523,3.30518118450868,0.0141527324281181
"Piscivore",5701,1.34700727580279,0.691045744108308,NA,"+",NA,-0.427431044210287,NA,-0.181866188322932,NA,NA,NA,NA,NA,0.43723749682339,NA,11,-178.75121531182,381.323120278813,3.34110890879811,0.0139007646270351
"Piscivore",593,1.37762970667053,0.68628267942616,NA,"+",NA,NA,NA,NA,NA,0.176250823523328,NA,NA,NA,NA,NA,9,-181.049409718836,381.32330923359,3.34129786357482,0.0138994513811339
"Piscivore",4673,1.39022864415798,0.650481569897795,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171166129907804,NA,9,-181.059375654656,381.34324110523,3.36122973521549,0.0137616182993503
"Piscivore",583,1.34249259467926,0.587519236437473,NA,"+",0.138591707039259,NA,NA,-0.278916042018642,NA,NA,NA,NA,NA,NA,NA,10,-179.919436127899,381.345721570867,3.36371020085221,0.013744561268233
"Piscivore",5889,1.12207684741889,NA,"+","+",NA,-0.482097187671043,NA,NA,NA,NA,NA,NA,NA,0.539682355020097,NA,11,-178.979085964425,381.778861584022,3.79685021400712,0.0110681674958982
"Piscivore",835,1.81812815111315,0.757772883448191,"+","+",0.335538347150849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,-178.991309253186,381.803308161544,3.82129679152956,0.0109337015706498
"Piscivore",7745,1.38409194843039,0.678089216651876,NA,"+",NA,-0.485242226433611,0.136601308858032,NA,NA,NA,NA,NA,NA,0.501021548447416,NA,11,-179.054348091226,381.929385837624,3.94737446760962,0.010265729024489
"Piscivore",13889,1.37422293352977,0.731930654937095,NA,"+",NA,-0.424244004178714,NA,NA,NA,NA,NA,NA,NA,0.55219191926959,-0.13676139634288,11,-179.070238746662,381.961167148497,3.9791557784821,0.0101038891382342
"Planktivore",8267,1.38467150546847,0.458413517648926,NA,NA,0.495765499559117,NA,NA,NA,-0.245609708934425,NA,NA,NA,NA,NA,0.336531156268324,10,-107.585702154318,236.678253623705,0,0.0485870288493191
"Planktivore",195,1.36925108590744,0.455725008843544,NA,NA,0.521223646798193,NA,NA,NA,NA,NA,NA,NA,0.275804479054264,NA,NA,9,-108.856619805477,236.937729406872,0.259475783167204,0.0426752321063157
"Planktivore",4354,0.758758307444534,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,0.272525369050667,NA,0.400196005446579,NA,10,-107.901547948445,237.309945211959,0.63169158825383,0.0354282953681712
"Planktivore",4355,0.901987356508998,NA,"+",NA,0.395914578185944,NA,NA,NA,NA,NA,NA,NA,NA,0.277747807405935,NA,10,-108.150516282579,237.807881880227,1.12962825652187,0.0276200641595867
"Planktivore",4356,0.864608457365615,NA,"+",NA,0.266312567634021,NA,NA,NA,NA,NA,NA,0.199808264335995,NA,0.313816457361617,NA,11,-107.074392863133,237.969475381438,1.2912217577335,0.0254762264266737
"Planktivore",8260,1.40142715808532,0.498867691397203,NA,NA,0.434553326883732,NA,NA,NA,NA,NA,NA,0.20429719819145,NA,NA,0.263604221116194,10,-108.507282167768,238.521413650605,1.84316002690059,0.0193322867294336
"Planktivore",8259,1.38985742494868,0.429588972237019,NA,NA,0.556580153975338,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22660066768195,9,-109.666857004766,238.55820380545,1.87995018174558,0.018979918673232
"Planktivore",196,1.37840750108091,0.518863257718244,NA,NA,0.42942373829656,NA,NA,NA,NA,NA,NA,0.16260884888069,0.282129630835733,NA,NA,10,-108.543373528717,238.593596372503,1.91534274879859,0.0186469990590266
"Planktivore",1091,1.41423558614754,0.420125505170151,NA,NA,0.51437127844751,0.226208373702689,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,-109.691499374272,238.607488544462,1.92923492075738,0.0185179242018008
"Planktivore",1283,0.956272824861567,NA,"+",NA,0.411999980235693,0.25779237362228,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,-108.860076557222,239.227002429512,2.54874880580678,0.0135852167286283
"Planktivore",8395,1.37186200199011,0.456028610574962,NA,NA,0.456753038485831,NA,NA,NA,-0.224419603712864,NA,NA,NA,0.163713120300482,NA,0.261962955667936,11,-107.774459754558,239.369609164288,2.69135554058309,0.0126502734164334
"Planktivore",387,0.922944742210378,NA,"+",NA,0.452639251267706,NA,NA,NA,NA,NA,NA,NA,0.279621286925991,NA,NA,10,-108.949722561747,239.406294438563,2.7280408148581,0.0124203491962445
"Planktivore",1092,1.42714794104894,0.484154853041395,NA,NA,0.402763837955325,0.247387281414307,NA,NA,NA,NA,NA,0.184524487729606,NA,NA,NA,10,-108.973600947778,239.454051210624,2.77579758691877,0.0121272841879906
"Planktivore",4163,1.40478897225777,0.431558717837725,NA,NA,0.532514049270983,NA,NA,NA,NA,NA,NA,NA,NA,0.202256162353813,NA,9,-110.202937095961,239.630363987841,2.95211036413571,0.0111039557322878
"Planktivore",67,1.39510210464168,0.478141848279196,NA,NA,0.630787382563068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-111.349090432366,239.671153837705,2.99290021400003,0.0108797851302925
"Planktivore",4418,0.894760134059774,0.215882348019638,"+",NA,NA,NA,NA,NA,NA,NA,NA,0.270114502888751,NA,0.38780698071983,NA,11,-107.954295222068,239.729280099308,3.05102647560315,0.0105681352095182
"Planktivore",4419,1.08299186870485,0.282504260086142,"+",NA,0.40095262855613,NA,NA,NA,NA,NA,NA,NA,NA,0.263684252936023,NA,11,-107.988941510812,239.798572676797,3.12031905309172,0.0102082587355583
"Planktivore",8387,1.37244186715751,0.429175029735529,NA,NA,0.502085660514135,NA,NA,NA,NA,NA,NA,NA,0.206069488230241,NA,0.146017865832201,10,-109.222554898986,239.951959113041,3.27370548933607,0.00945462324845164
"Planktivore",12356,1.41247769609111,0.473103755169161,NA,NA,0.355980830932083,NA,NA,NA,NA,NA,NA,0.223539406302674,NA,0.175834747298029,0.21480520614836,11,-108.100685586423,240.022060828018,3.34380720431315,0.00912897112902884
"Planktivore",4164,1.41727120049712,0.497654225547853,NA,NA,0.412800813683119,NA,NA,NA,NA,NA,NA,0.193786090019511,NA,0.232375697258755,NA,10,-109.268415084633,240.043679484335,3.36542586062967,0.00903082448959665
"Planktivore",12546,0.818121269350791,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,0.287413055138117,NA,0.344277564278512,0.152164269575537,11,-108.138549189319,240.097788033811,3.41953441010614,0.00878977746136487
"Planktivore",4420,1.0341008116551,0.263342694217417,"+",NA,0.274629002230318,NA,NA,NA,NA,NA,NA,0.195926329610528,NA,0.298078194011477,NA,12,-106.989672877252,240.146012421171,3.4677587974659,0.00858037141003502
"Planktivore",8268,1.39285641521293,0.493611661165353,NA,NA,0.436093101365549,NA,NA,NA,-0.18655886697856,NA,NA,0.125719871140366,NA,NA,0.333452660866023,11,-108.180943291777,240.182576238727,3.50432261502223,0.00842493104527368
"Planktivore",203,1.36704746102563,0.48191982853296,NA,NA,0.504254684445855,NA,NA,NA,-0.120488185645136,NA,NA,NA,0.283973894313804,NA,NA,10,-109.406768897474,240.320387110016,3.6421334863112,0.00786395653719454
"Planktivore",8388,1.38487940085267,0.495403337610646,NA,NA,0.389114004577915,NA,NA,NA,NA,NA,NA,0.193393935970444,0.193416667477109,NA,0.185449421322964,11,-108.264534760849,240.349759176871,3.6715055531657,0.00774931011974516
"Planktivore",4363,0.855773678927661,NA,"+",NA,0.369443569897445,NA,NA,NA,-0.143727398073618,NA,NA,NA,NA,0.279632344901642,NA,11,-108.281807534585,240.384304724343,3.70605110063852,0.00761660741065814
"Planktivore",9291,1.39655590172101,0.436206234884508,NA,NA,0.454623354441428,0.117571047751123,NA,NA,-0.22515978494208,NA,NA,NA,NA,NA,0.278953385052428,11,-108.287425941212,240.395541537597,3.71728791389248,0.0075739342030767
"Planktivore",1284,0.929640676852813,NA,"+",NA,0.303687132138617,0.280218827374891,NA,NA,NA,NA,NA,0.177787655597366,NA,NA,NA,11,-108.307400405431,240.435490466034,3.75723684232955,0.00742414983661569
"Planktivore",451,1.21948833952207,0.465249900429775,"+",NA,0.448277613485276,NA,NA,NA,NA,NA,NA,NA,0.277586996474238,NA,NA,11,-108.319365532433,240.459420720039,3.78116709633443,0.0073358482641665
"Planktivore",12363,1.39147811332656,0.437329467525009,NA,NA,0.457980575874694,NA,NA,NA,-0.224933328052455,NA,NA,NA,NA,0.111293361314375,0.292362312504483,11,-108.320167123487,240.461023902146,3.78277027844078,0.00732997027001899
"Planktivore",9284,1.41839996917455,0.470405825915948,NA,NA,0.363138303969742,0.172227558802017,NA,NA,NA,NA,NA,0.212186647626439,NA,NA,0.196783501051839,11,-108.384121364565,240.588932384303,3.91067876059785,0.00687586338458355
"Planktivore",4482,0.769625813401437,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,0.258845854384979,0.148480199654715,0.319917381168608,NA,11,-108.390524480239,240.601738615651,3.92348499194654,0.00683197709042441
"Planktivore",5378,0.794494454718417,NA,"+",NA,NA,0.148189641186412,NA,NA,NA,NA,NA,0.266090026315344,NA,0.28345855216444,NA,11,-108.393846277355,240.608382209883,3.93012858617769,0.00680932030009569
"Planktivore",1347,1.20384365637357,0.391225437230615,"+",NA,0.41172324185627,0.24913262680941,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,-108.400825869861,240.622341394895,3.94408777119051,0.0067619594909934
